epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/cv4_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/cv4_loss,lr/pg0,lr/pg1,lr/pg2
89,14097.2,0.84256,10.6945,0.57647,0.20365,3e-05,0.00218,3e-05,2e-05,0.74522,9.62439,0.5589,0.37984,0.001288,0.001288,0.001288
90,14255.8,0.84355,10.6491,0.57428,0.20231,3e-05,0.00218,3e-05,2e-05,0.74531,9.62353,0.55893,0.38031,0.001189,0.001189,0.001189
91,14401.1,0.81042,10.6928,0.57064,0.19424,3e-05,0.00218,3e-05,2e-05,0.74348,9.62239,0.55874,0.37891,0.00109,0.00109,0.00109
92,14546,0.81224,10.6782,0.57089,0.19495,3e-05,0.00224,3e-05,2e-05,0.74224,9.61885,0.55858,0.37807,0.000991,0.000991,0.000991
93,14690.1,0.81441,10.6756,0.5689,0.19022,3e-05,0.00224,3e-05,2e-05,0.74112,9.61607,0.55861,0.37634,0.000892,0.000892,0.000892
94,14833.7,0.81311,10.6852,0.57049,0.18763,3e-05,0.00224,3e-05,2e-05,0.74011,9.61467,0.55851,0.37678,0.000793,0.000793,0.000793
95,14977.5,0.81576,10.6724,0.57052,0.18677,3e-05,0.00224,3e-05,2e-05,0.7399,9.61224,0.55853,0.37736,0.000694,0.000694,0.000694
96,15121,0.81516,10.6741,0.57115,0.18225,3e-05,0.00224,3e-05,2e-05,0.73926,9.61116,0.55835,0.3747,0.000595,0.000595,0.000595
97,15264.9,0.81393,10.6845,0.57181,0.1825,3e-05,0.00224,3e-05,2e-05,0.7385,9.60915,0.55828,0.37672,0.000496,0.000496,0.000496
98,15408,0.81884,10.6997,0.57222,0.18589,4e-05,0.0023,3e-05,2e-05,0.73801,9.60854,0.55828,0.37638,0.000397,0.000397,0.000397
99,15549.9,0.80982,10.7173,0.56917,0.18038,4e-05,0.0023,3e-05,2e-05,0.73774,9.60825,0.55833,0.37259,0.000298,0.000298,0.000298
100,15698.5,0.81172,10.6828,0.57358,0.18161,3e-05,0.0023,3e-05,2e-05,0.73725,9.60666,0.5583,0.37624,0.000199,0.000199,0.000199
